Skola;From;To;Url;Adress;Lat;Lon;Kommunal
Berzeliusskolan;;;;;;;
Bjîrkî friskola;;;;;;;
Ekholmsskolan;;;;;;;
Engelska skolan;;;;;;;
Folkungaskolan;;;;;;;
Internationella skolan Atlas;;;;;;;
Kungsbergsskolan;;;;;;;
KÑrna skola;;;;;;;
Linghemsskola;;;;;;;
Ljungsbro skola;;;;;;;
Nya Munken;;;;;;;
Rydsskolan;;;;;;;
SkÑggetorpsskolan;;;;;;;
Tokarpsskolan;;;;;;;
Tornhagsskolan;;;;;;;
Vittra i Lambohov;;;;;;;
ènestadsskolan;;;;;;;
